query,answer,response,nli_result,confidence
," ""Naomi Scott played the role of Princess Jasmine in 'Aladdin'.""",,neutral,"[0.1243865117430687, 0.5171487331390381, 0.35846465826034546]"
," ""The film 'Aladdin' was produced by Walt Disney Pictures and Rideback.""",,neutral,"[0.05856223776936531, 0.5988579988479614, 0.3425796627998352]"
," ""The Genie is voiced by Will Smith in the live-action adaptation.""",,neutral,"[0.06965724378824234, 0.7052983045578003, 0.22504450380802155]"
," ""Navid Negahban portrayed the Sultan in 'Aladdin'.""",,neutral,"[0.1925625056028366, 0.5159446597099304, 0.29149284958839417]"
," ""John August co-wrote the screenplay with Guy Ritchie for the 2019 live-action adaptation.""",,neutral,"[0.1241186335682869, 0.7938810586929321, 0.08200022578239441]"
,The movie's plot centers around a man who livestreams a trial where the public acts as judge and jury.,,neutral,"[0.0281438697129488, 0.5616768002510071, 0.4101792871952057]"
,"Vincent Kartheiser plays a significant role in the film, but specific details about his character are not mentioned.",,neutral,"[0.014920358546078205, 0.8909744024276733, 0.09410515427589417]"
,"The public watches and engages as the man conducts a trial, deciding whether one of the captives should live or die.",,neutral,"[0.016065500676631927, 0.5480982661247253, 0.4358362555503845]"
,"I am sorry, but the provided context does not contain information.",,neutral,"[0.040850941091775894, 0.6511381268501282, 0.3080109655857086]"
,Sam Taylor-Johnson directed the film.,,neutral,"[0.07295963168144226, 0.5193036794662476, 0.40773671865463257]"
,"I am sorry, but the provided context does not contain information.",,neutral,"[0.040850941091775894, 0.6511381268501282, 0.3080109655857086]"
," ""The title references the song 'Always Be My Baby' by Mariah Carey.""",,neutral,"[0.039129890501499176, 0.7263452410697937, 0.23452480137348175]"
,Sasha Luss plays the role of Anna.,,neutral,"[0.1728941649198532, 0.5419813394546509, 0.28512445092201233]"
,"I am sorry, but the provided context does not contain information.",,neutral,"[0.040850941091775894, 0.6511381268501282, 0.3080109655857086]"
,Aaron Woodley directed the movie.,,neutral,"[0.08314230293035507, 0.5240921378135681, 0.3927655816078186]"
," ""Miranda Bailey""",,neutral,"[0.3354448974132538, 0.40176963806152344, 0.2627854645252228]"
," ""Frank is shocked when he sees Philip in the wrong house""",,neutral,"[0.07297792285680771, 0.627556324005127, 0.2994658350944519]"
," ""The film follows a group of sorority sisters being stalked by a masked assailant during the holiday season.""",,neutral,"[0.006396539509296417, 0.8973633050918579, 0.09624016284942627]"
," ""Jay Roach directed the movie.""",,neutral,"[0.14018301665782928, 0.6558473706245422, 0.20396965742111206]"
," ""The film focuses on the women who exposed CEO Roger Ailes for sexual harassment at Fox News.""",,neutral,"[0.12025952339172363, 0.7054051756858826, 0.1743352711200714]"
," ""Olivia Wilde directed the movie.""",,neutral,"[0.12497502565383911, 0.6698087453842163, 0.20521625876426697]"
," ""Tom Hooper directed the movie.""",,neutral,"[0.17926491796970367, 0.6579750776290894, 0.16275998950004578]"
," ""Judi Dench plays Old Deuteronomy.""",,neutral,"[0.11730767041444778, 0.4451037645339966, 0.4375886023044586]"
," ""Elizabeth Banks directed the movie.""",,neutral,"[0.2297503650188446, 0.6038168668746948, 0.16643273830413818]"
," ""Chinonye Chukwu directed the movie.""",,neutral,"[0.22272327542304993, 0.6246062517166138, 0.1526705026626587]"
," ""Hans Petter Moland directed the movie.""",,neutral,"[0.18337257206439972, 0.635951817035675, 0.18067567050457]"
," ""Justin Dec directed the movie.""",,neutral,"[0.2246282994747162, 0.6136448979377747, 0.16172675788402557]"
," ""The film follows a group of people who discover a mobile app that predicts when they will die.""",,neutral,"[0.020971864461898804, 0.8778541088104248, 0.10117407888174057]"
," ""Elizabeth Lail plays Quinn Harris.""",,neutral,"[0.1093626320362091, 0.5441878437995911, 0.34644952416419983]"
," ""Alexandre Aja directed the movie.""",,neutral,"[0.2412194162607193, 0.616881251335144, 0.14189933240413666]"
," ""Kaya Scodelario plays Haley in the film.""",,neutral,"[0.09131794422864914, 0.6753690838813782, 0.23331297934055328]"
," ""Simon Kinberg directed the movie.""",,neutral,"[0.19868627190589905, 0.6400221586227417, 0.16129155457019806]"
," ""Sophie Turner plays Jean Grey.""",,neutral,"[0.075996033847332, 0.48162439465522766, 0.44237950444221497]"
," ""Todd Haynes directed the movie.""",,neutral,"[0.2070310413837433, 0.595780611038208, 0.19718827307224274]"
," ""The film follows Robert Bilott's legal battle against DuPont after they polluted a town with toxic chemicals.""",,neutral,"[0.011205801740288734, 0.9489231705665588, 0.03987099602818489]"
," ""DuPont initially denies responsibility but eventually settles the case for over $300 million.""",,neutral,"[0.01977311260998249, 0.8647536635398865, 0.1154731884598732]"
," ""Craig Brewer directed the movie.""",,neutral,"[0.15587283670902252, 0.7047351002693176, 0.13939203321933746]"
," ""Eddie Murphy plays the role of Rudy Ray Moore.""",,neutral,"[0.14530479907989502, 0.4773962199687958, 0.3772989809513092]"
," ""Jacob Aaron Estes directed the movie.""",,neutral,"[0.24182261526584625, 0.6027933359146118, 0.15538403391838074]"
," ""James Bobin directed the movie.""",,neutral,"[0.2243342399597168, 0.5967987775802612, 0.17886704206466675]"
," ""Michael Engler directed the movie.""",,neutral,"[0.17526255548000336, 0.6827551126480103, 0.14198237657546997]"
," ""Tom Branson saves Princess Mary from an assassination attempt and helps her reconcile with her husband.""",,neutral,"[0.1377614289522171, 0.5597963929176331, 0.30244216322898865]"
,Vince Gilligan,,neutral,"[0.2888394892215729, 0.39102843403816223, 0.3201321065425873]"
,It is a crime drama film.,,neutral,"[0.0157980527728796, 0.6527524590492249, 0.3314494788646698]"
,Aaron Paul,,neutral,"[0.25591638684272766, 0.4424642026424408, 0.30161944031715393]"
,2019,,entailment,"[0.05450715869665146, 0.4073580205440521, 0.5381348133087158]"
,Robert Forster,,neutral,"[0.3256755769252777, 0.4162571132183075, 0.2580673098564148]"
,"I am sorry, but the provided context does not contain information.",,neutral,"[0.040850941091775894, 0.6511381268501282, 0.3080109655857086]"
,Zac Efron,,neutral,"[0.2831595838069916, 0.4107946753501892, 0.3060457408428192]"
,The Phantom Prince: My Life with Ted Bundy,,neutral,"[0.05526190996170044, 0.499835729598999, 0.44490236043930054]"
,"Ted Bundy is transferred to Aspen, Colorado, after being charged with the murder of Caryn Campbell.",,neutral,"[0.0744519978761673, 0.581128716468811, 0.34441933035850525]"
," ""The film was directed by Julia Hart.""",,neutral,"[0.025359109044075012, 0.8881711959838867, 0.08646973967552185]"
,Stephen Merchant,,neutral,"[0.22157646715641022, 0.4475819766521454, 0.330841600894928]"
,Saraya Bevis,,neutral,"[0.2622520923614502, 0.42694124579429626, 0.3108067214488983]"
,28 January 2019,,entailment,"[0.06731314957141876, 0.4222131669521332, 0.5104736089706421]"
,"Dwayne ""The Rock"" Johnson plays himself",,entailment,"[0.03746463730931282, 0.31573486328125, 0.6468005180358887]"
,Paige re-adopts her original hair color and skin tone,,neutral,"[0.07001715153455734, 0.5341214537620544, 0.3958613872528076]"
,$41.5 million,,neutral,"[0.058770306408405304, 0.47377869486808777, 0.4674510061740875]"
,Five Feet Apart,,neutral,"[0.05992526188492775, 0.7371938228607178, 0.20288094878196716]"
,Cystic fibrosis,,neutral,"[0.06251579523086548, 0.47710007429122925, 0.4603841304779053]"
,He decides to say a final goodbye and gives her a sketchbook,,neutral,"[0.061757124960422516, 0.8586593270301819, 0.07958345860242844]"
,She falls through the ice and is near death,,neutral,"[0.008770420216023922, 0.8180105090141296, 0.17321905493736267]"
,$80.1 million,,entailment,"[0.063136987388134, 0.4631393849849701, 0.4737236797809601]"
,Matt Damon and Christian Bale,,neutral,"[0.11979642510414124, 0.4696330428123474, 0.41057050228118896]"
,Ford GT40,,neutral,"[0.08191787451505661, 0.46640482544898987, 0.4516773223876953]"
,He follows orders and compromises his chance of winning for the team,,neutral,"[0.011058056727051735, 0.7154900431632996, 0.2734518349170685]"
,$225.5 million,,entailment,"[0.052399877458810806, 0.4284451901912689, 0.519154965877533]"
,Chris Buck and Jennifer Lee,,entailment,"[0.1412975788116455, 0.3896290063858032, 0.4690733850002289]"
,Elsa,,entailment,"[0.09723726660013199, 0.4181303381919861, 0.4846324026584625]"
,The search for Elsa's origins,,neutral,"[0.042577411979436874, 0.5845658183097839, 0.37285682559013367]"
,Jennifer Lee co-directed the film and wrote the screenplay,,neutral,"[0.04232887178659439, 0.5718845129013062, 0.38578665256500244]"
,She won the Academy Award for Best Original Song,,neutral,"[0.023583069443702698, 0.6661159992218018, 0.31030088663101196]"
,$1.45 billion,,entailment,"[0.061483465135097504, 0.40904518961906433, 0.5294713377952576]"
,Ruben Fleischer,,neutral,"[0.24445295333862305, 0.3999180495738983, 0.3556290864944458]"
,"Homers, Hawkings, Ninjas, and T-800s",,entailment,"[0.14227868616580963, 0.41426822543144226, 0.4434530436992645]"
,Little Rock,,neutral,"[0.10069074481725693, 0.4948294460773468, 0.4044797718524933]"
,He decides to go after her,,neutral,"[0.024102048948407173, 0.5638534426689148, 0.412044495344162]"
,He uses fireworks and biodiesel to corral the zombies,,neutral,"[0.19907520711421967, 0.6356614232063293, 0.16526328027248383]"
,$125 million,,neutral,"[0.06749604642391205, 0.47315987944602966, 0.4593440592288971]"
,William McGregor,,neutral,"[0.1600072681903839, 0.4556143283843994, 0.38437843322753906]"
,The psychological and supernatural struggles of a young girl,,neutral,"[0.011871782131493092, 0.5647135376930237, 0.42341476678848267]"
,The death of a neighbouring family due to cholera,,neutral,"[0.03540309891104698, 0.5867412686347961, 0.37785565853118896]"
,The worsening of her illness,,neutral,"[0.013430201448500156, 0.8931703567504883, 0.09339942783117294]"
,She breaks a lock and retrieves a hatchet,,neutral,"[0.040378179401159286, 0.7257485389709473, 0.23387323319911957]"
,$18.7 million,,neutral,"[0.05642854794859886, 0.47441622614860535, 0.4691552221775055]"
,Neil Jordan,,neutral,"[0.13884787261486053, 0.48320460319519043, 0.3779474198818207]"
,A young woman befriends a widow who becomes disturbingly obsessed with her,,neutral,"[0.018910644575953484, 0.764370322227478, 0.21671897172927856]"
,Handbags with names and phone numbers attached,,neutral,"[0.04784572124481201, 0.5002654790878296, 0.4518887400627136]"
,Her daughter Nicola's suicide,,neutral,"[0.08764434605836868, 0.6901574730873108, 0.2221982479095459]"
,"With the help of Erica, who drugs Greta",,neutral,"[0.06680465489625931, 0.745451033115387, 0.18774433434009552]"
,$18.7 million,,neutral,"[0.05642854794859886, 0.47441622614860535, 0.4691552221775055]"
,Gene Stupnitsky,,neutral,"[0.13841205835342407, 0.4747016131877899, 0.38688626885414124]"
,They aim to replace a broken drone and prepare for their first kiss,,neutral,"[0.08920364081859589, 0.6589267253875732, 0.25186967849731445]"
,Max,,entailment,"[0.09586615115404129, 0.385093629360199, 0.5190401673316956]"
,They need to buy a new drone after destroying one,,neutral,"[0.014611934311687946, 0.7945579886436462, 0.1908300817012787]"
,He uses the drone without permission,,neutral,"[0.013179869391024113, 0.7463911175727844, 0.24042899906635284]"
,$111.2 million,,entailment,"[0.06553266942501068, 0.4463385343551636, 0.48812875151634216]"
,Michael Dougherty,,neutral,"[0.15633387863636017, 0.4827282428741455, 0.3609379529953003]"
,King Ghidorah,,entailment,"[0.08149795234203339, 0.356978178024292, 0.5615238547325134]"
,King Ghidorah,,entailment,"[0.08149795234203339, 0.356978178024292, 0.5615238547325134]"
,The Orca,,neutral,"[0.2355162352323532, 0.42095813155174255, 0.3435256779193878]"
,He detonates a nuclear warhead to revive Godzilla,,neutral,"[0.07163099944591522, 0.544724702835083, 0.38364437222480774]"
,$387.3 million,,entailment,"[0.0733611062169075, 0.4141726493835449, 0.5124662518501282]"
,Sebastián Lelio,,neutral,"[0.24161390960216522, 0.3966767489910126, 0.3617093563079834]"
,She works as an office worker in Los Angeles,,neutral,"[0.015902210026979446, 0.8566718697547913, 0.1274259239435196]"
,They start a romantic relationship,,neutral,"[0.006870836019515991, 0.8649247884750366, 0.1282043159008026]"
,Gloria inadvertently reveals Anne's pregnancy,,neutral,"[0.031194204464554787, 0.5714828372001648, 0.39732295274734497]"
,He leaves her and checks out of the hotel,,neutral,"[0.05276897922158241, 0.5796172022819519, 0.3676137924194336]"
,$10.6 million,,neutral,"[0.07108154892921448, 0.4794369637966156, 0.44948142766952515]"
,Ang Lee,,neutral,"[0.28720197081565857, 0.3923070728778839, 0.32049089670181274]"
,Will Smith,,neutral,"[0.15549428761005402, 0.5214577317237854, 0.323047935962677]"
,Henry Brogan is targeted by a younger clone of himself,,neutral,"[0.07432134449481964, 0.6344662308692932, 0.29121240973472595]"
,The assassin is his clone,,neutral,"[0.04310475289821625, 0.6933870315551758, 0.26350826025009155]"
,He decides to ally with Henry,,neutral,"[0.06693959981203079, 0.7755500674247742, 0.15751028060913086]"
,$173.5 million,,entailment,"[0.0552552193403244, 0.44642481207847595, 0.49831998348236084]"
,Lorene Scafaria,,neutral,"[0.23597848415374756, 0.4177438020706177, 0.34627780318260193]"
,A group of strippers scam wealthy men using drugs to steal their money,,neutral,"[0.0354122631251812, 0.5941842794418335, 0.3704034388065338]"
,Jennifer Lopez,,entailment,"[0.05346737802028656, 0.35280612111091614, 0.5937264561653137]"
,The financial crisis leads to Destiny and Ramona's desperate need for money,,neutral,"[0.024031968787312508, 0.8237447738647461, 0.15222328901290894]"
,Ramona's growing ruthlessness and illegal activities,,neutral,"[0.005935105960816145, 0.7043241858482361, 0.28974077105522156]"
,$157.6 million,,entailment,"[0.05940000340342522, 0.44178029894828796, 0.4988197088241577]"
,Anthony Maras,,neutral,"[0.19997826218605042, 0.4539082646369934, 0.3461134135723114]"
,The 2008 Mumbai attacks,,neutral,"[0.04766206070780754, 0.5915412306785583, 0.36079666018486023]"
,Arjun,,neutral,"[0.19130533933639526, 0.4474257528781891, 0.36126893758773804]"
,They are taken hostage by the terrorists,,neutral,"[0.05702239274978638, 0.6663310527801514, 0.2766466438770294]"
,The police are ill-equipped to handle the situation,,neutral,"[0.008093472570180893, 0.8021434545516968, 0.18976302444934845]"
,$21.2 million,,entailment,"[0.050863116979599, 0.4641352593898773, 0.4850015342235565]"
,Alma Har'el,,entailment,"[0.1421728879213333, 0.4235561490058899, 0.4342709481716156]"
,The semi-autobiographical story of Shia LaBeouf's childhood and relationship with his father,,neutral,"[0.036116987466812134, 0.5661912560462952, 0.3976918160915375]"
,Shia LaBeouf,,neutral,"[0.21477071940898895, 0.4391936659812927, 0.3460356295108795]"
,James is emotionally and physically abusive towards Otis,,neutral,"[0.03271165490150452, 0.8136318922042847, 0.1536564826965332]"
,Otis finally demands that James be a better father,,neutral,"[0.0681845098733902, 0.7078663110733032, 0.2239491492509842]"
,$3.3 million,,neutral,"[0.059477660804986954, 0.4877355098724365, 0.45278677344322205]"
,David Leitch,,neutral,"[0.14490436017513275, 0.4895668625831604, 0.36552876234054565]"
,"Hobbs and Shaw team up to defeat Brixton, a cybernetically enhanced villain",,neutral,"[0.05437557399272919, 0.5146549940109253, 0.43096935749053955]"
,Dwayne Johnson and Jason Statham,,entailment,"[0.11592522263526917, 0.42077797651290894, 0.4632967710494995]"
,Snowflake,,entailment,"[0.12189485877752304, 0.3520384430885315, 0.526066780090332]"
,They use a combination of teamwork and custom trucks to destroy Brixton's helicopter,,neutral,"[0.05484232306480408, 0.686447262763977, 0.25871041417121887]"
,$760.7 million,,entailment,"[0.0655113160610199, 0.4205271303653717, 0.5139615535736084]"
,Claire Denis,,neutral,"[0.24341550469398499, 0.39564329385757446, 0.36094117164611816]"
,A group of criminals on a space mission toward a black hole while undergoing disturbing scientific experiments,,neutral,"[0.0382341705262661, 0.5763375163078308, 0.3854283392429352]"
,Robert Pattinson,,neutral,"[0.2723468244075775, 0.4344817101955414, 0.29317140579223633]"
,The Box,,entailment,"[0.11164155602455139, 0.41331952810287476, 0.47503894567489624]"
,"Monte and Willow walk towards a yellow light, implying a possible escape from the black hole",,neutral,"[0.025820421054959297, 0.8297330141067505, 0.14444653689861298]"
,$8.1 million,,neutral,"[0.06986547261476517, 0.4845477044582367, 0.44558680057525635]"
,Steven Soderbergh,,neutral,"[0.1212044283747673, 0.4481702148914337, 0.430625319480896]"
,The film revolves around a sports agent trying to find a solution during the NBA lockout,,neutral,"[0.025502964854240417, 0.7911343574523926, 0.1833626925945282]"
,iPhone 8,,neutral,"[0.03675407916307449, 0.5038866996765137, 0.45935919880867004]"
,He suggests streaming the games on social media platforms and streaming services,,neutral,"[0.017894821241497993, 0.701914370059967, 0.28019076585769653]"
,"He uses a ruse to force the end of the lockout, while helping players stay signed",,neutral,"[0.06405694782733917, 0.7506062388420105, 0.18533682823181152]"
,$2.2 million,,neutral,"[0.06470632553100586, 0.47684329748153687, 0.45845043659210205]"
,Alex Ross Perry,,neutral,"[0.2592692971229553, 0.3978751301765442, 0.3428555130958557]"
,"Becky Something, a rock star and lead vocalist of the band Something She",,entailment,"[0.02305361069738865, 0.36179885268211365, 0.6151475310325623]"
,Elisabeth Moss,,neutral,"[0.31717556715011597, 0.3716100752353668, 0.3112143278121948]"
,The band's brief fame is destroyed by Becky's behavior,,neutral,"[0.04208211973309517, 0.6473860144615173, 0.3105318248271942]"
,Becky performs with the band after years of separation and finds peace with her daughter,,neutral,"[0.0765557661652565, 0.81059730052948, 0.11284691095352173]"
,$1.3 million,,neutral,"[0.06499923765659332, 0.4779568314552307, 0.45704391598701477]"
,Kasi Lemmons,,neutral,"[0.26656389236450195, 0.4095856845378876, 0.3238503634929657]"
,Cynthia Erivo,,neutral,"[0.2024841606616974, 0.42334046959877014, 0.37417536973953247]"
,Focus Features,,neutral,"[0.06762649863958359, 0.4717387855052948, 0.460634708404541]"
,"After a harrowing confrontation and a visionary moment, Minty resolves to flee to freedom.",,neutral,"[0.017939800396561623, 0.7942491173744202, 0.18781118094921112]"
,Virginia,,entailment,"[0.0702207013964653, 0.4591237008571625, 0.47065550088882446]"
,"It honors her heritage by combining her mother's name with her husband's legacy, symbolizing rebirth into freedom.",,neutral,"[0.023161781951785088, 0.7269675135612488, 0.24987073242664337]"
,Christopher Landon,,neutral,"[0.09695107489824295, 0.4702102839946747, 0.4328385889530182]"
,Tree Gelbman,,neutral,"[0.1473379135131836, 0.4817635715007782, 0.3708984851837158]"
,"February 13, 2019",,neutral,"[0.11205963790416718, 0.5290618538856506, 0.3588785231113434]"
,An experimental quantum reactor,,neutral,"[0.04104456305503845, 0.6842907667160034, 0.2746647000312805]"
,It is revealed to be another version of Ryan insisting the original must die to close the loop.,,neutral,"[0.04007381573319435, 0.7976983189582825, 0.16222786903381348]"
,"She must decide whether to remain in a new reality or return to her original one, weighing the consequences of living a life that isn’t truly hers.",,neutral,"[0.023414282128214836, 0.7187042236328125, 0.2578814923763275]"
,It was directed by Grant Sputore.,,neutral,"[0.06906258314847946, 0.668100118637085, 0.2628372013568878]"
,An underground bunker built to repopulate humanity.,,neutral,"[0.04051445797085762, 0.5599220395088196, 0.3995635211467743]"
,A girl known simply as Daughter.,,entailment,"[0.03724736347794533, 0.3477698862552643, 0.6149828433990479]"
,Complex moral and ethical lessons.,,neutral,"[0.013330081477761269, 0.5952558517456055, 0.391414076089859]"
,That she is the third child and that the second was killed for failing the exam.,,neutral,"[0.04390828683972359, 0.7462760806083679, 0.20981571078300476]"
,To remake humanity so that it values ethical behavior and avoids self-destruction.,,neutral,"[0.022790463641285896, 0.6093260049819946, 0.3678835928440094]"
,Vincenzo Natali.,,neutral,"[0.2366316169500351, 0.3995533287525177, 0.363815039396286]"
,"A vast field of tall, shifting grass.",,neutral,"[0.014135991223156452, 0.5353980660438538, 0.45046597719192505]"
,Becky is the pregnant character.,,entailment,"[0.011733032763004303, 0.24768751859664917, 0.7405794858932495]"
,They experience a distortion of time and space as the grass shifts unpredictably.,,neutral,"[0.0234988983720541, 0.6563524603843689, 0.32014861702919006]"
,A mysterious rock.,,entailment,"[0.01836918480694294, 0.4329198896884918, 0.5487109422683716]"
,It creates a disorienting time loop and altered sense of space.,,neutral,"[0.008250957354903221, 0.7312049269676208, 0.2605440318584442]"
,Josh Lobo.,,neutral,"[0.2073066085577011, 0.4419039487838745, 0.3507893681526184]"
,That a man has trapped the devil behind a padlocked door.,,neutral,"[0.1502198576927185, 0.5650928616523743, 0.2846872806549072]"
,Steve is the brother experiencing visions.,,entailment,"[0.04392653703689575, 0.4613499343395233, 0.49472349882125854]"
,He presents a book and connects newspaper clippings to show the devil’s pattern.,,neutral,"[0.03991299495100975, 0.688109278678894, 0.2719777524471283]"
,It serves as the mysterious barrier that supposedly contains the devil.,,neutral,"[0.065744549036026, 0.4936889111995697, 0.4405665695667267]"
,By intertwining visions and confinement with familial discord and unresolved grief.,,neutral,"[0.02954331785440445, 0.5039989948272705, 0.4664576053619385]"
," ""Micah Gallo.""",,contradiction,"[0.4247462749481201, 0.3037375807762146, 0.2715161144733429]"
," ""The Itsy Bitsy Spider.""",,contradiction,"[0.5131986737251282, 0.27208003401756287, 0.21472124755382538]"
," ""She is haunted by guilt over her son’s death and a secret drug addiction.""",,neutral,"[0.002314742421731353, 0.9830307960510254, 0.014654429629445076]"
," ""It is an artifact whose disturbance unleashes the monstrous spider.""",,neutral,"[0.016694534569978714, 0.7379376292228699, 0.2453678995370865]"
," ""David M. Rosenthal.""",,entailment,"[0.1771719604730606, 0.34695759415626526, 0.47587043046951294]"
," ""Psychological horror.""",,entailment,"[0.021313993260264397, 0.4550955891609192, 0.5235903859138489]"
," ""The loss of his brother in combat.""",,neutral,"[0.03445280343294144, 0.5733482837677002, 0.39219895005226135]"
," ""By updating its themes to focus on modern issues such as PTSD and altered reality.""",,neutral,"[0.014850237406790257, 0.9733272194862366, 0.011822497472167015]"
," ""Mind-twisting paranoia and hallucinatory sequences.""",,neutral,"[0.018910858780145645, 0.5618957877159119, 0.4191933870315552]"
," ""It retains existential questions about life and reality while exploring the mental scars left by modern warfare.""",,neutral,"[0.022521980106830597, 0.699951708316803, 0.2775263488292694]"
," ""Adam DeVine.""",,contradiction,"[0.40173086524009705, 0.3191164433956146, 0.27915269136428833]"
," ""A self-aware smartphone.""",,neutral,"[0.05585126206278801, 0.5122043490409851, 0.43194445967674255]"
," ""An overdependence on his phone and poor social habits.""",,neutral,"[0.008289238438010216, 0.8445083498954773, 0.14720243215560913]"
," ""By aggressively intervening to break him out of his bad habits.""",,neutral,"[0.01715153269469738, 0.9058419466018677, 0.077006496489048]"
," ""It satirizes our reliance on digital devices and how technology can both isolate and control us.""",,neutral,"[0.005238137673586607, 0.8526648283004761, 0.14209701120853424]"
," ""He is on the run with a bounty on his head.""",,neutral,"[0.007758965250104666, 0.6470887660980225, 0.3451523184776306]"
," ""The John Wick franchise.""",,entailment,"[0.08503687381744385, 0.3815858066082001, 0.5333773493766785]"
," ""To have his excommunicado status revoked and secure a chance to live.""",,neutral,"[0.01159092877060175, 0.7841454148292542, 0.20426370203495026]"
," ""They impose lethal consequences on those who defy the underworld’s strict code.""",,neutral,"[0.008975324220955372, 0.7662899494171143, 0.224734827876091]"
," ""It shows shifting alliances and moral dilemmas as characters navigate a world defined by strict codes and hidden agendas.""",,neutral,"[0.0024169101379811764, 0.9119324088096619, 0.085650734603405]"
," ""Taika Waititi.""",,neutral,"[0.336910605430603, 0.34370672702789307, 0.3193827271461487]"
," ""It is told from the satirical viewpoint of a young boy in Nazi Germany.""",,neutral,"[0.007147755939513445, 0.7684363722801208, 0.2244158387184143]"
," ""It blends satire with poignant moments to expose the absurdity of prejudice and indoctrination.""",,neutral,"[0.007572765462100506, 0.8752722144126892, 0.11715507507324219]"
," ""She challenges Jojo’s beliefs and introduces him to empathy and humanity.""",,neutral,"[0.08047117292881012, 0.8073849678039551, 0.11214388906955719]"
," ""Todd Phillips.""",,contradiction,"[0.5215094685554504, 0.2894195020198822, 0.18907096982002258]"
," ""It depicts Arthur Fleck’s descent into madness fueled by isolation and systemic failure.""",,neutral,"[0.02854507975280285, 0.837748110294342, 0.13370676338672638]"
," ""His evolving makeup and costume.""",,neutral,"[0.01768026314675808, 0.5383176803588867, 0.4440019726753235]"
," ""By portraying how systemic indifference and social alienation push a troubled individual toward violent rebellion.""",,neutral,"[0.018135061487555504, 0.8107255697250366, 0.1711394041776657]"
,Renée Zellweger.,,entailment,"[0.2040998935699463, 0.3838774263858795, 0.41202273964881897]"
,Rupert Goold.,,neutral,"[0.3254171311855316, 0.358862966299057, 0.3157199025154114]"
,"The last year of her life, focusing on her stage career in England.",,neutral,"[0.028227701783180237, 0.7807384133338928, 0.19103388488292694]"
,End of the Rainbow by Peter Quilter.,,neutral,"[0.08515245467424393, 0.4802144169807434, 0.43463313579559326]"
,"She battles substance abuse, a grueling work schedule, and deteriorating health.",,neutral,"[0.013913442380726337, 0.6320272088050842, 0.3540593683719635]"
,"It portrays how her turbulent relationships, including separations from her children and husbands, compound her declining health and career challenges.",,neutral,"[0.011012602597475052, 0.8478919267654419, 0.14109541475772858]"
,Jake Kasdan.,,neutral,"[0.23347708582878113, 0.407879114151001, 0.35864385962486267]"
