question,answer,context,category
"What is the source material for the movie 'After'?", "The movie 'After' is based on the 2014 novel of the same name by Anna Todd.", "The film is based on Anna Todd's 2014 novel 'After'.", "moderate"
"How much did 'After' gross worldwide?", "The film 'After' grossed $69.7 million worldwide.", "The film grossed $69.7 million against a production budget of $14 million.", "difficult"
"What is the genre of the movie 'After'?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the film 'After the Wedding'?", "Bart Freundlich directed the film 'After the Wedding'.", "Bart Freundlich (director/screenplay) for 'After the Wedding' (2019 film).", "easy"
"Which actress played the role of Isabel Andersen?", "Michelle Williams played the role of Isabel Andersen in 'After the Wedding'.", "Michelle Williams portrays Isabel Andersen, a co-founder of an orphanage in India.", "easy"
"What is the main plot of 'After the Wedding'?", "The film follows Isabel Andersen as she travels to New York and discovers a long-hidden secret about her biological daughter, Grace, during a wedding.", "The film revolves around Isabel Andersen's unexpected reunion with her birth daughter and the complexities surrounding their connection.", "easy"
"When was 'After the Wedding' released in the United States?", "The film 'After the Wedding' was released in the United States on August 9, 2019.", "The movie was released by Sony Pictures Classics in the US on August 9, 2019.", "easy"
"What is the film 'After the Wedding' a remake of?", "The film 'After the Wedding' is a remake of the 2006 Danish-Swedish film of the same name.", "It is a remake of Susanne Bier's 2006 film 'After the Wedding'.", "moderate"
"What was the critical reception of 'After the Wedding' on Rotten Tomatoes?", "The film has an approval rating of 45% on Rotten Tomatoes based on 156 reviews.", "On Rotten Tomatoes, the film holds a 45% approval rating with an average rating of 5.8/10.", "difficult"
"What was the reason for Isabel’s visit to New York?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the film 'A Hidden Life'?", "Terrence Malick directed the film 'A Hidden Life'.", "Terrence Malick (director/screenplay) for 'A Hidden Life' (2019 film).", "easy"
"Which actor portrayed Franz Jägerstätter in 'A Hidden Life'?", "August Diehl portrayed Franz Jägerstätter in 'A Hidden Life'.", "August Diehl played the role of Franz Jägerstätter, an Austrian farmer who refused to fight for the Nazis.", "easy"
"What is the central theme of 'A Hidden Life'?", "The film depicts the life of Franz Jägerstätter, who refuses to swear allegiance to Adolf Hitler during WWII.", "The film follows Franz Jägerstätter's resistance to fighting for the Nazis, despite personal and family hardships.", "easy"
"When was 'A Hidden Life' released in the United States?", "The film 'A Hidden Life' was released in the United States on December 13, 2019.", "A Hidden Life was released in the U.S. on December 13, 2019, after premiering at Cannes.", "easy"
"Where was 'A Hidden Life' filmed?", "The film was shot in locations in Germany, Italy, and Austria, including parts of South Tyrol and the Alps.", "A Hidden Life was filmed in locations in Germany, northern Italy, and the Alps in South Tyrol.", "moderate"
"How was the film 'A Hidden Life' received by critics?", "The film holds an 82% approval rating on Rotten Tomatoes with a 7.5/10 average rating.", "On Rotten Tomatoes, 'A Hidden Life' holds an approval rating of 82% with an average score of 7.5/10.", "difficult"
"What happened to Franz Jägerstätter after his trial?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the film 'Aladdin'?", "Guy Ritchie directed the film 'Aladdin'.", "Guy Ritchie (director/screenplay) for 'Aladdin' (2019 film).", "easy"
"Which actor portrayed Aladdin in the 2019 live-action film?", "Mena Massoud portrayed Aladdin in the 2019 film.", "Mena Massoud (actor) portrayed Aladdin, the street urchin, in 'Aladdin' (2019).", "easy"
"Who played the role of Princess Jasmine in 'Aladdin'?", "Naomi Scott played the role of Princess Jasmine in 'Aladdin'.", "Naomi Scott played the role of Princess Jasmine in the 2019 live-action 'Aladdin'.", "easy"
"What is the main plot of 'Aladdin'?", "Aladdin, a street urchin, befriends a wish-granting genie, falls in love with Princess Jasmine, and battles the wicked sorcerer Jafar.", "Aladdin meets Princess Jasmine, befriends a genie, and battles Jafar in this live-action adaptation of Disney's 'Aladdin'.", "easy"
"Which actor portrayed Jafar in 'Aladdin'?", "Marwan Kenzari portrayed Jafar in 'Aladdin'.", "Marwan Kenzari (actor) portrayed Jafar, the royal vizier, in 'Aladdin' (2019).", "easy"
"Where was the movie 'Aladdin' filmed?", "The movie was filmed at Longcross Studios in Surrey, England, and the Wadi Rum Desert in Jordan.", "The film was shot in the UK, specifically at Longcross Studios, and in the Wadi Rum Desert, Jordan.", "moderate"
"What year was 'Aladdin' released?", "The film 'Aladdin' was released in 2019.", "Aladdin premiered on May 8, 2019, and was theatrically released on May 24, 2019.", "easy"
"Which company produced the 2019 live-action 'Aladdin'?", "The film 'Aladdin' was produced by Walt Disney Pictures and Rideback.", "Walt Disney Pictures and Rideback were the production companies behind the 2019 live-action 'Aladdin'.", "easy"
"What is the name of the character who is the Genie in 'Aladdin'?", "The Genie is voiced by Will Smith in the live-action adaptation.", "Will Smith (actor) voiced the character of Genie in 'Aladdin' (2019).", "easy"
"How much did 'Aladdin' gross at the worldwide box office?", "'Aladdin' grossed over $1 billion worldwide.", "'Aladdin' made over $1 billion globally, making it the ninth highest-grossing film of 2019.", "moderate"
"Who plays the role of the Sultan in 'Aladdin'?", "Navid Negahban portrayed the Sultan in 'Aladdin'.", "Navid Negahban (actor) portrayed the Sultan in the 2019 live-action 'Aladdin'.", "easy"
"What new character was introduced in the live-action 'Aladdin'?", "Mara, played by Nasim Pedrad, is a newly created character in the live-action 'Aladdin'.", "Nasim Pedrad plays the newly introduced character Mara, a friend of Princess Jasmine, in the live-action 'Aladdin'.", "moderate"
"What major controversy surrounded the casting of 'Aladdin'?", "The casting of the film faced criticism for its lack of Middle Eastern or Arab actors for some roles.", "The film faced backlash over its casting choices, with some arguing the characters were not authentically representative of Middle Eastern culture.", "difficult"
"How did 'Aladdin' perform on Rotten Tomatoes?", "The film holds an approval rating of 57% on Rotten Tomatoes based on 383 reviews.", "On Rotten Tomatoes, 'Aladdin' holds a 57% approval rating with an average rating of 5.9/10.", "difficult"
"How was the character of Jafar different in the 2019 live-action 'Aladdin'?", "Jafar was portrayed as more handsome but lacked the looming threat of his animated counterpart.", "In the live-action adaptation, Jafar was given a more handsome appearance but was criticized for lacking the menacing presence of the original animated character.", "moderate"
"Where did the world premiere of 'Aladdin' take place?", "The world premiere of 'Aladdin' was held at the Grand Rex in Paris.", "The world premiere of the live-action 'Aladdin' took place at the Grand Rex in Paris on May 8, 2019.", "easy"
"Who composed the score for 'Aladdin'?", "Alan Menken composed the score for 'Aladdin' with a new song written by Pasek & Paul.", "Alan Menken composed the original score, with Pasek & Paul contributing a new song to the soundtrack.", "moderate"
"Why was there a backlash regarding the character of Iago in 'Aladdin'?", "The character of Iago was voiced by Alan Tudyk, unlike in the original film where Gilbert Gottfried voiced him.", "The backlash stemmed from the fact that Alan Tudyk voiced Iago, deviating from the original voice actor, Gilbert Gottfried.", "difficult"
"What is the significance of the Cave of Wonders in 'Aladdin'?", "The Cave of Wonders is where Aladdin finds the magic lamp, which holds the Genie.", "The Cave of Wonders is a mystical location where Aladdin retrieves the magic lamp that houses the Genie.", "easy"
"Who helped create the original screenplay for the 2019 film 'Aladdin'?", "John August co-wrote the screenplay with Guy Ritchie for the 2019 live-action adaptation.", "John August worked alongside Guy Ritchie to write the screenplay for the 2019 'Aladdin'.", "easy"
"Who performed the song 'Speechless' in the movie?", "Naomi Scott performed the song 'Speechless' in 'Aladdin'.", "Naomi Scott performed 'Speechless', a new song written for Jasmine's character in 'Aladdin'.", "moderate"
"Was there any controversy regarding the casting of the lead roles in 'Aladdin'?", "Yes, the casting of Mena Massoud as Aladdin and Naomi Scott as Jasmine faced criticism for their ethnic backgrounds.", "The casting of Mena Massoud as Aladdin and Naomi Scott as Jasmine led to controversy regarding ethnic representation in the film.", "difficult"
"Which animal sidekick accompanies Aladdin in the film?", "Aladdin's sidekick is a pet monkey named Abu.", "Abu, a loyal and kleptomaniac monkey, accompanies Aladdin throughout the film.", "easy"
"Was 'Aladdin' a commercial success?", "Yes, 'Aladdin' grossed over $1 billion worldwide, making it a major commercial success.", "'Aladdin' proved to be a commercial success, grossing over $1 billion globally and becoming the ninth highest-grossing film of 2019.", "easy"
"Who directed the movie 'American Hangman'?","Wilson Coneybeare directed the movie.", "Wilson Coneybeare (director/screenplay); Donald Sutherland, Vincent Kartheiser, Oliver Dennis, Paul Braunstein", "easy"
"When was 'American Hangman' released on Netflix?","The film was released on Netflix on January 4, 2019.", "The film premiered on Netflix on January 4, 2019.", "easy"
"What is the central plot of the movie 'American Hangman'?","The movie's plot centers around a man who livestreams a trial where the public acts as judge and jury.", "An unidentified man posts a livestreaming on social media showing that he has kidnapped two strangers and intends to kill one before the day is out.", "easy"
"What role does Vincent Kartheiser play in 'American Hangman'?","Vincent Kartheiser plays a significant role in the film, but specific details about his character are not mentioned.", "The film stars Donald Sutherland and Vincent Kartheiser.", "moderate"
"What happens during the livestream trial in the film 'American Hangman'?","The public watches and engages as the man conducts a trial, deciding whether one of the captives should live or die.", "It becomes apparent that the online public is going to act as judge and jury.", "difficult"
"Who are the other actors that appear in 'American Hangman' besides Donald Sutherland and Vincent Kartheiser?","I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed 'A Million Little Pieces'?","Sam Taylor-Johnson directed the film.", "A Million Little Pieces is a 2018 psychological drama film directed by Sam Taylor-Johnson.", "easy"
"What is the central theme of 'A Million Little Pieces'?","The film follows James, a drug-addicted man, as he battles addiction in a rehabilitation center.", "It follows Frey, a drug-addicted young man, who checks himself into a rehabilitation center to battle his addiction.", "easy"
"When was 'A Million Little Pieces' released in the United States?","The film was released on December 6, 2019, in the United States.", "It was released in the United States by Momentum Pictures on December 6, 2019.", "easy"
"Who plays the main character, James, in 'A Million Little Pieces'?","Aaron Taylor-Johnson plays the main character, James.", "Aaron Taylor-Johnson stars as Frey, a drug-addicted young man.", "moderate"
"What was the public reaction to 'A Million Little Pieces' according to Rotten Tomatoes?","The film received mixed reviews, with a 27% approval rating on Rotten Tomatoes.", "Rotten Tomatoes gives the film an approval rating of 27%, based on 48 reviews, with an average rating of 5/10.", "difficult"
"What happens to the film's protagonist, James, during his time at the rehab center?","I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the film 'Always Be My Maybe'?", "Nahnatchka Khan directed the film.", "Always Be My Maybe is a 2019 American romantic comedy film, written by Ali Wong, Randall Park and Michael Golamco and directed by Nahnatchka Khan.", "easy"
"What year was 'Always Be My Maybe' released?", "The film was released in 2019.", "The film was released in select theaters on May 29, 2019, and on Netflix on May 31, 2019.", "easy"
"What is the main plot of 'Always Be My Maybe'?", "The plot follows childhood friends Marcus and Sasha, who reconnect after years apart and struggle with their romantic feelings for each other.", "It stars Park and Wong as childhood friends Marcus and Sasha, who have not been in touch since a brief teenage fling ended badly.", "easy"
"What is the title of the song referenced in the film's title 'Always Be My Maybe'?", "The title references the song 'Always Be My Baby' by Mariah Carey.", "The film’s title is a play-on-words of the title of Mariah Carey’s 1996 song 'Always Be My Baby'.", "moderate"
"How does the relationship between Marcus and Sasha evolve after their initial encounter in the film?", "After initial friction, Marcus and Sasha reconnect as friends and later begin a romantic relationship.", "Marcus and Sasha reconnect and become friends again, and Marcus admits to his father he still has feelings for Sasha.", "difficult"
"What happens after Marcus and Sasha reconnect in the film?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the movie 'Anna'?","Luc Besson directed the movie.", "Anna is a 2019 action thriller film written, produced and directed by Luc Besson.", "easy"
"What is the main plot of 'Anna'?","The film follows Anna, a Russian woman recruited by the KGB and later becomes a CIA double agent.", "The plot centers around Anna, a young Russian woman recruited by the KGB and later working as a double agent for the CIA.", "easy"
"When was 'Anna' released in the United States?","It was released on June 21, 2019, in the United States.", "The French production was theatrically released in the United States on June 21, 2019.", "easy"
"Who plays the titular role of Anna in the film?","Sasha Luss plays the role of Anna.", "Sasha Luss stars as the eponymous assassin in 'Anna'.", "moderate"
"What happens to Anna at the end of the film?","Anna is revealed to have faked her death and escapes, with Olga being the one killed for betraying her.", "After Anna kills Vassiliev, Olga shoots her dead, but it is later revealed that Anna faked her death and escaped.", "difficult"
"What happens to the film's antagonist, Vassiliev, in 'Anna'?","I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the movie 'Arctic Dogs'?","Aaron Woodley directed the movie.", "Arctic Dogs is a 2019 animated comedy film co-written and directed by Aaron Woodley.", "easy"
"What is the main plot of 'Arctic Dogs'?","The film follows Swifty, an Arctic fox, as he attempts to stop a villain's plan to melt the Arctic.", "Swifty, an Arctic fox, works in the mailroom of the Arctic Blast Delivery Service, but he has much bigger dreams.", "easy"
"When was 'Arctic Dogs' released?", "It was released on November 1, 2019.", "Arctic Dogs was released on November 1, 2019, in Canada and the United States.", "easy"
"Who voices the character Swifty in the movie?", "Jeremy Renner voices Swifty.", "The film stars the voices of Jeremy Renner, Heidi Klum, James Franco, and others.", "moderate"
"What is the villain's plan in 'Arctic Dogs'?", "The villain, Otto Von Walrus, plans to melt the Arctic ice caps by unleashing ancient gas.", "Otto Von Walrus plans to drill beneath the snow-packed surface to unleash ancient gas to melt the Arctic.", "difficult"
"Who is the film's antagonist, Otto Von Walrus, voiced by?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the film 'Being Frank'?", "Miranda Bailey", "Being Frank is a 2018 American comedy film directed by Miranda Bailey", "easy"
"Who played the character of Philip in 'Being Frank'?", "Logan Miller", "The film stars Jim Gaffigan, Logan Miller, Samantha Mathis, Alex Karpovsky, and Anna Gunn", "easy"
"What was the main conflict between Philip and his father Frank?", "Philip wanted to attend NYU, while Frank wanted him to work at the family ketchup factory", "Philip, a 17-year-old senior has dreams of being a musician, but his father sees his life much differently. Frank wants Philip to complete a summer internship at the family ketchup factory before attending a state college", "easy"
"How does Frank react when he finds out Philip is in the wrong house?", "Frank is shocked when he sees Philip in the wrong house", "Frank 'returns' home from his 'trip' to Japan and is shocked when he sees Philip in the wrong house", "moderate"
"Who directed the movie 'Black Christmas'?", "Sophia Takal directed the movie.", "Black Christmas is a 2019 slasher film directed by Sophia Takal, written by Takal and April Wolfe.", "easy"
"What is the central theme of 'Black Christmas'?", "The film follows a group of sorority sisters being stalked by a masked assailant during the holiday season.", "The film follows a group of sorority sisters at Hawthorne College as they are preyed upon by an unknown stalker.", "easy"
"When was 'Black Christmas' released?", "It was released on December 13, 2019.", "Black Christmas was theatrically released in the United States on December 13, 2019.", "easy"
"Who are the main characters in 'Black Christmas'?", "The main characters are Riley Stone, Kris Waterson, and other sorority sisters.", "Riley and Kris, along with their friends Marty, Jesse, and Helena, are among the key characters in the film.", "moderate"
"What happens to the sorority sisters at the hands of the masked assailant?", "The sorority sisters are attacked and several are killed by the assailant, who turns out to be linked to a frat ritual.", "The girls are attacked, and several of them are killed by a masked assailant who turns out to be part of a dark fraternity ritual.", "difficult"
"Who are the fraternity brothers responsible for the killings in 'Black Christmas'?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the movie 'Bombshell'?", "Jay Roach directed the movie.", "Bombshell is a 2019 American biographical drama film directed by Jay Roach.", "easy"
"What is the main plot of 'Bombshell'?", "The film focuses on the women who exposed CEO Roger Ailes for sexual harassment at Fox News.", "The film is based on the accounts of the women at Fox News who set out to expose CEO Roger Ailes for sexual harassment.", "easy"
"When was 'Bombshell' released?", "It was released on December 13, 2019.", "Bombshell was released on December 13, 2019, in limited release and opened to the public on December 20.", "easy"
"Who plays Megyn Kelly in 'Bombshell'?", "Charlize Theron plays Megyn Kelly.", "Charlize Theron stars as Megyn Kelly, one of the women who exposed Roger Ailes.", "moderate"
"What happens to Roger Ailes at the end of the film?", "Roger Ailes is fired by Fox and settles Carlson’s lawsuit for $20 million, with an apology from Fox.", "After more women accuse Ailes, Kelly finds others at the network to speak out, and Ailes is ultimately fired by Fox.", "difficult"
"Who was the first actress to be cast for 'Bombshell'?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the movie 'Booksmart'?", "Olivia Wilde directed the movie.", "Booksmart is a 2019 American coming-of-age comedy film directed by Olivia Wilde.", "easy"
"What is the central theme of 'Booksmart'?", "The film follows two high school seniors who, on the eve of graduation, decide to finally break the rules and party.", "The film follows two high school seniors, Amy and Molly, who are top students but realize they missed out on high school fun.", "easy"
"When was 'Booksmart' released?", "It was released on May 24, 2019.", "The film was theatrically released in the United States on May 24, 2019.", "easy"
"Who are the lead characters in 'Booksmart'?", "Amy and Molly are the lead characters in the film.", "The lead characters, Amy and Molly, are portrayed by Kaitlyn Dever and Beanie Feldstein.", "moderate"
"What happens between Amy and Ryan during the party in 'Booksmart'?", "Amy finds Ryan making out with Nick, which breaks her heart.", "Amy finds Ryan making out with Nick at the party, leading to a confrontation with Molly.", "difficult"
"What causes the argument between Amy and Molly at the party?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the movie 'Cats'?", "Tom Hooper directed the movie.", "Cats is a 2019 musical fantasy film directed by Tom Hooper.", "easy"
"What is the main plot of 'Cats'?", "The film follows a group of Jellicle cats who gather for the Jellicle Ball and compete to be chosen for a new life.", "The film revolves around Victoria, a young white cat who is abandoned and introduced to the Jellicles, as they prepare for the Jellicle Ball.", "easy"
"When was 'Cats' released?", "It was released on December 20, 2019.", "Cats was released in the United Kingdom and the United States on December 20, 2019.", "easy"
"Who plays the role of Old Deuteronomy in 'Cats'?", "Judi Dench plays Old Deuteronomy.", "Old Deuteronomy is portrayed by Judi Dench in the film.", "moderate"
"How does Grizabella earn the Jellicle Choice?", "Grizabella sings a passionate ballad about her past, which touches the hearts of the Jellicles, leading Old Deuteronomy to choose her.", "Grizabella sings 'Memory,' which moves the Jellicles, and Old Deuteronomy names her the Jellicle Choice.", "difficult"
"How did the visual effects for the film 'Cats' come to be so controversial?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the movie 'Charlie's Angels'?", "Elizabeth Banks directed the movie.", "Charlie's Angels is a 2019 American action comedy film written and directed by Elizabeth Banks.", "easy"
"What is the main plot of 'Charlie's Angels'?", "The film follows the new generation of Angels working for the Townsend Agency to stop a global threat.", "The Angels, including Jane, Sabina, and Elena, work for the Townsend Agency and are tasked with preventing a global disaster.", "easy"
"When was 'Charlie's Angels' released?", "It was released on November 15, 2019.", "Charlie's Angels was theatrically released in the United States on November 15, 2019.", "easy"
"Who plays the character of Sabina in 'Charlie's Angels'?", "Kristen Stewart plays Sabina in the film.", "Kristen Stewart stars as Sabina, one of the Angels in the film.", "moderate"
"How does the film end?", "The Angels defeat the villains, and Elena is recruited as a new Angel.", "The Angels succeed in capturing the villains, and Elena joins the Townsend Agency as a new Angel.", "difficult"
"Who is the mastermind behind the plot in 'Charlie's Angels'?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the movie 'Clemency'?", "Chinonye Chukwu directed the movie.", "Clemency is a 2019 American drama film written and directed by Chinonye Chukwu.", "easy"
"What is the central theme of 'Clemency'?", "The film explores the psychological toll of a prison warden overseeing death row executions.", "The film follows the life of prison warden Bernadine Williams as she faces the emotional and psychological challenges of her job, particularly in overseeing death row executions.", "easy"
"When was 'Clemency' released?", "It was released on December 27, 2019.", "Clemency was theatrically released in the United States on December 27, 2019.", "easy"
"Who plays the role of Bernadine Williams in 'Clemency'?", "Alfre Woodard plays Bernadine Williams.", "Alfre Woodard stars as Bernadine Williams, the prison warden in 'Clemency'.", "moderate"
"What happens to the death row inmate, Anthony Woods, at the end of the film?", "Anthony Woods is executed after his final appeal for clemency is denied.", "On the day of his execution, despite his final appeal and a last-ditch effort from his lawyer, Anthony Woods is executed.", "difficult"
"What leads to Bernadine's personal struggles in the movie 'Clemency'?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the movie 'Cold Pursuit'?", "Hans Petter Moland directed the movie.", "Cold Pursuit is a 2019 action thriller film directed by Hans Petter Moland.", "easy"
"What is the main plot of 'Cold Pursuit'?", "The film follows a snowplow driver who seeks revenge against a drug cartel after his son is killed.", "The plot centers on snowplow driver Nels Coxman, who seeks vengeance against a drug cartel after his son dies from a heroin overdose.", "easy"
"When was 'Cold Pursuit' released?", "It was released on February 8, 2019.", "Cold Pursuit was released in the United States on February 8, 2019.", "easy"
"Who plays Nels Coxman in 'Cold Pursuit'?", "Liam Neeson plays Nels Coxman.", "Liam Neeson stars as Nels Coxman, the vengeful snowplow driver in 'Cold Pursuit'.", "moderate"
"What is the result of the gang war sparked by Nels in the film?", "The gang war leads to most of the gang members being killed, and Viking is eventually killed by White Bull.", "The escalating gang war causes numerous deaths, culminating in Viking's death at the hands of White Bull.", "difficult"
"Why was the red carpet premiere of 'Cold Pursuit' canceled?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the movie 'Countdown'?", "Justin Dec directed the movie.", "Countdown is a 2019 supernatural horror film directed and written by Justin Dec.", "easy"
"What is the main plot of 'Countdown'?", "The film follows a group of people who discover a mobile app that predicts when they will die.", "The plot centers around a group of people who download a mobile app that predicts their time of death.", "easy"
"When was 'Countdown' released?", "It was released on October 25, 2019.", "Countdown was theatrically released in the United States on October 25, 2019.", "easy"
"Who plays the role of Quinn Harris in 'Countdown'?", "Elizabeth Lail plays Quinn Harris.", "Elizabeth Lail plays the lead role of Quinn Harris in the film.", "moderate"
"What is the significance of the app in 'Countdown'?", "The app determines the time of death and users must avoid breaking its 'user agreement' to stay alive.", "The app predicts when users will die, and breaking its user agreement causes the user to be attacked by a supernatural entity.", "difficult"
"What happens to Quinn at the end of the movie 'Countdown'?", "I am sorry, but the provided context does not contain information.", "", "missing"
"Who directed the movie 'Crawl'?", "Alexandre Aja directed the movie.", "Crawl is a 2019 American survival horror film directed by Alexandre Aja.", "easy"
"What is the main plot of 'Crawl'?", "The film follows a woman trapped in a flooding house with alligators during a hurricane.", "The story centers on a woman who is trapped inside her father's house as a category 5 hurricane floods the area, with alligators lurking inside.", "easy"
"When was 'Crawl' released?", "It was released on July 12, 2019.", "Crawl was theatrically released in the United States on July 12, 2019.", "easy"
"Who plays the lead role of Haley in 'Crawl'?", "Kaya Scodelario plays Haley in the film.", "Kaya Scodelario stars as Haley in the 2019 film 'Crawl'.", "moderate"
