"question","answer","context","category"
"Who directed 'The Angry Birds Movie 2'?","Thurop Van Orman (co-directed by John Rice)","'The sequel to The Angry Birds Movie (2016), the film was directed by Thurop Van Orman and co-directed by John Rice...'","easy"
"Which actress voices the film's new antagonist, Zeta?","Leslie Jones","'Jason Sudeikis, Josh Gad, Danny McBride, Bill Hader, and Peter Dinklage reprise their roles... with newcomers Leslie Jones, Rachel Bloom, ... Leslie Jones voices the leader of Eagle Island, Zeta.'","medium"
"How much did 'The Angry Birds Movie 2' gross worldwide?","$152.8 million","'It was not as financially successful as its predecessor, grossing $152.8 million on a $65 million budget.'","hard"
"Why do the birds and pigs join forces in 'The Angry Birds Movie 2'?","They must stop Eagle Island's leader Zeta from destroying both of their islands.","'In the film, the birds are forced to team up with the pigs to stop Eagle Island's leader from destroying both of their Islands.'","complex"
"Which actor portrays Thomas Wayne in 'Joker'?","Brett Cullen","'Brett Cullen... played Thomas Wayne in the film Joker.'","easy"
"Which actress plays Arthur Fleck's neighbor Sophie Dumond in 'Joker'?","Zazie Beetz","'Zazie Beetz portrayed the role of Sophie, Arthur Fleck’s neighbor in the film.'","easy"
"Which comedic podcaster has a cameo role as a TV producer in 'Joker'?","Marc Maron","'Marc Maron appears briefly as a booking agent/producer on Murray Franklin’s show.'","easy"
"Which actor, known for roles in 'Boardwalk Empire' and 'Barry,' also appears in 'Joker'?","Glenn Fleshler","'Glenn Fleshler had a supporting role in Joker, joining the star-studded cast alongside Joaquin Phoenix.'","medium"
"Which 'The Night Of' actor joins the cast of 'Joker' in a supporting role?","Bill Camp","'Bill Camp, recognized from The Night Of, played a supporting role in Joker.'","medium"
"Who plays one of the GCPD detectives investigating Arthur in 'Joker'?","Shea Whigham","'Shea Whigham is featured in the film as one of the GCPD detectives probing the subway killings.'","hard"
"Which production companies were behind the 2019 film 'Joker'?","Warner Bros. Pictures, Village Roadshow Pictures, and DC Films","'Joker was produced by Warner Bros. Pictures, Village Roadshow Pictures, and DC Films.'","hard"
"In addition to directing, what other major contribution did Todd Phillips make to 'Joker'?","He co-wrote the screenplay with Scott Silver","'Todd Phillips (director/screenplay); Scott Silver (screenplay)... Phillips was credited for both directing and co-writing.'","complex"
"Which actress portrays the Joker’s mother, Penny Fleck?","Frances Conroy","'Frances Conroy co-starred as Arthur Fleck's mother Penny in Joker.'","complex"
"Who directed 'Uncut Gems'?","Josh and Benny Safdie","Mentioned at the beginning: 'Uncut Gems is a 2019 American crime thriller film directed by Josh and Benny Safdie...'",easy
"Which real-life NBA player starred as himself in 'Uncut Gems'?","Kevin Garnett","In the cast list: '...Lakeith Stanfield, Julia Fox, Kevin Garnett, Idina Menzel...'",easy
"Which actress was chosen for the role of Julia after 300 actresses auditioned?","Julia Fox","'Three hundred actresses auditioned for the role of Julia... the role eventually went to Julia Fox.'",moderate
"What is the main addiction Howard Ratner struggles with in 'Uncut Gems'?","Gambling","'He has a gambling addiction... must retrieve an expensive gem... to pay off his debts.'",moderate
"What precious stone does Howard purchase from Ethiopia?","A 600-carat black opal","'...he has used $100,000... to purchase a 600-carat black opal from Ethiopia's Welo mine...'",moderate
"Who composed the original score for 'Uncut Gems'?","Daniel Lopatin","'The original score was composed by Daniel Lopatin.'",difficult
"What valuable piece of collateral does Kevin Garnett initially give Howard?","His 2008 NBA Championship ring","'He promises to give the opal back that night, giving Howard his 2008 NBA Championship ring as collateral.'",difficult
"Which NBA head coach contributed a voiceover pep talk for the film?","Doc Rivers","'Celtics head coach Doc Rivers wrote and delivered a voiceover pep talk for the film.'",complex
"Why was Howard Ratner described as a 'symbol of the desperate Jew' by some commentators?","He embodies a working-class, culturally marked figure, not a wealthy Jew, reflecting a hustler’s desperation.","'He’s a symbol of the working-class Jew, the desperate Jew... maybe not wealthy, but culturally marked as working-class.'",complex
"Who directed 'Spider-Man: Far From Home'?","Jon Watts","Listed after the movie title: 'Jon Watts(director); Chris McKenna, Erik Sommers(screenplay)...'",easy
"In which year was 'Spider-Man: Far From Home' released?","2019","Mentioned in the linked page for 'Spider-Man: Far From Home': 'Spider-Man: Far From Home is a 2019 American...'",easy
"Which two companies co-produced 'Spider-Man: Far From Home'?","Columbia Pictures and Marvel Studios","Specified below the title: 'Columbia Pictures/Marvel Studios'",moderate
"Which actor portrays Peter Parker/Spider-Man?","Tom Holland","Named in the cast list: 'Tom Holland, Samuel L. Jackson, Zendaya...'",moderate
"Who are credited as the screenplay writers for 'Spider-Man: Far From Home'?","Chris McKenna and Erik Sommers","Noted after the director: 'Jon Watts(director); Chris McKenna, Erik Sommers(screenplay)...'",easy
"Which actor plays the role of Quentin Beck / Mysterio?","Jake Gyllenhaal","Included in the cast list near the end: '...Jake Gyllenhaal'",moderate
"Which actress plays May Parker in 'Spider-Man: Far From Home'?","Marisa Tomei","Listed among principal cast: '...Marisa Tomei...'",easy
"Which Marvel Cinematic Universe (MCU) film number is 'Spider-Man: Far From Home' considered to be?","It is the 23rd MCU film","Commonly cited in sources about the MCU's release order: the 23rd film overall.",complex
"Which comedic actor portrays Mr. Dell, Peter's teacher, in the film?","J. B. Smoove","He is credited in the cast list as J. B. Smoove, playing a teacher/faculty character.",difficult
"Who directed 'Spider-Man: Far From Home'?","Jon Watts","Listed after the movie title: 'Jon Watts(director); Chris McKenna, Erik Sommers(screenplay)...'",easy
"In which year was 'Spider-Man: Far From Home' released?","2019","Mentioned in the linked page for 'Spider-Man: Far From Home': 'Spider-Man: Far From Home is a 2019 American...'",easy
"Which two companies co-produced 'Spider-Man: Far From Home'?","Columbia Pictures and Marvel Studios","Specified below the title: 'Columbia Pictures/Marvel Studios'",moderate
"Which actor portrays Peter Parker/Spider-Man?","Tom Holland","Named in the cast list: 'Tom Holland, Samuel L. Jackson, Zendaya...'",moderate
"Who are credited as the screenplay writers for 'Spider-Man: Far From Home'?","Chris McKenna and Erik Sommers","Noted after the director: 'Jon Watts(director); Chris McKenna, Erik Sommers(screenplay)...'",easy
"Which actor plays the role of Quentin Beck / Mysterio?","Jake Gyllenhaal","Included in the cast list near the end: '...Jake Gyllenhaal'",moderate
"Which actress plays May Parker in 'Spider-Man: Far From Home'?","Marisa Tomei","Listed among principal cast: '...Marisa Tomei...'",easy
"Which Marvel Cinematic Universe (MCU) film number is 'Spider-Man: Far From Home' considered to be?","It is the 23rd MCU film","Commonly cited in sources about the MCU's release order: the 23rd film overall.",complex
"Which comedic actor portrays Mr. Dell, Peter's teacher, in the film?","J. B. Smoove","He is credited in the cast list as J. B. Smoove, playing a teacher/faculty character.",difficult
"Who directed 'Ford v Ferrari'?","James Mangold","Mentioned in the credits: 'James Mangold(director)...'",easy
"Which two companies co-produced 'Ford v Ferrari' along with 20th Century Fox?","Chernin Entertainment and TSG Entertainment","In the film details: '20th Century Fox/Chernin Entertainment/TSG Entertainment'",easy
"Who portrayed Carroll Shelby in 'Ford v Ferrari'?","Matt Damon","The cast list states: 'Matt Damon, Christian Bale, Jon Bernthal...'",moderate
"Which English driver does Christian Bale play in 'Ford v Ferrari'?","Ken Miles","Described in the summary: 'Ken Miles, who are hired by Henry Ford II and Lee Iacocca...'",moderate
"What iconic 24-hour French race is central to the film's story?","The 1966 24 Hours of Le Mans","Plot mentions: '...dominant Italian racing team Scuderia Ferrari at the 1966 24 Hours of Le Mans.'",moderate
"Which real-life automotive executive is portrayed by Tracy Letts in the film?","Henry Ford II","Cast info: 'Tracy Letts plays Henry Ford II...'",moderate
"Which automaker was Enzo Ferrari associated with in the movie?","Ferrari","Referenced in the synopsis: '...Enzo Ferrari uses Ford's offer to secure a deal with Fiat...'",difficult
"Which British actress plays Ken Miles’s wife, Mollie Miles, in 'Ford v Ferrari'?","Caitriona Balfe","Named in the cast: '...Caitriona Balfe...'",complex
"Which young actor portrays Ken Miles’s son, Peter Miles?","Noah Jupe","In the list: 'Noah Jupe as Peter Miles'",complex
"Who directed the film 'Klaus'?",“Sergio Pablos”,"Mentioned in the credits: 'Sergio Pablos (director)...'",easy
"Which streaming platform released 'Klaus'?",“Netflix”,"Listed as the distributor: 'Netflix...'",easy
"Who provided the voice of Jesper in 'Klaus'?",“Jason Schwartzman”,"In the cast list: '...Jason Schwartzman...'",moderate
"Which actor voiced the toymaker Klaus in the film?",“J. K. Simmons”,"Credited among the main cast: '...J. K. Simmons...'",moderate
"Which actress played the teacher, Alva, in 'Klaus'?",“Rashida Jones”,"Noted in cast: '...Rashida Jones...'",moderate
"Which comedic actor portrayed Mogens in 'Klaus' and was it his final film role before his passing?",“Norm Macdonald; Yes, it was his final film role released during his lifetime”,"Mentioned as 'Norm Macdonald (in his final film role released in his lifetime)'",difficult
"What is the name of the fictional northern island town where Jesper must open a post office?",“Smeerensburg”,"In the plot summary: 'He finds Smeerensburg, a town locked in endless feuding...'",complex
"When was 'Klaus' first released on Netflix?",“November 15, 2019”,"Stated in the summary: 'Klaus was released digitally through Netflix on 15 November 2019...'",easy
"What recognition did 'Klaus' receive at the 92nd Academy Awards?",“It was nominated for Best Animated Feature”,"Mentioned: 'The film was also nominated at the 92nd Academy Awards for Best Animated Feature...'",compl
"Who directed 'Five Feet Apart'?","Justin Baldoni","Mentioned in the overview: 'Five Feet Apart is... directed by Justin Baldoni'",easy
"Which company released 'Five Feet Apart' in the United States?","CBS Films via Lionsgate","Listed as: 'The film was released in the United States on March 15, 2019, by CBS Films via Lionsgate.'",easy
"Which two writers wrote the screenplay for 'Five Feet Apart'?","Mikki Daughtry and Tobias Iaconis","Cited in the credits: '...written by Mikki Daughtry and Tobias Iaconis.'",easy
"Which two actors star in the main roles of 'Five Feet Apart'?","Cole Sprouse and Haley Lu Richardson","In the cast list: '...Cole Sprouse, Haley Lu Richardson...'",easy
"What medical condition do the main characters in 'Five Feet Apart' share?","Cystic Fibrosis","The plot: '...two teenagers living with cystic fibrosis...'",moderate
"Whose life and experiences inspired the film 'Five Feet Apart'?","Claire Wineland","Noted: 'The film was inspired by Claire Wineland, who suffered from cystic fibrosis.'",moderate
"When was 'Five Feet Apart' released theatrically in the U.S.?","March 15, 2019","Release date in the summary: '...was released in the United States on March 15, 2019...'",moderate
"What is the significance behind the film's title 'Five Feet Apart'?","They decide to take one foot back from the standard 'six-foot rule,' so they keep five feet of distance instead","Plot notes how CF patients maintain a 6-foot distance, but the protagonists opt for five feet as a small act of rebellion.",complex
"Which best-selling novel was created as a novelization of the film’s screenplay?","Five Feet Apart (novel) by Rachael Lippincott (with Mikki Daughtry, Tobias Iaconis)","Mentioned: 'A novelization of the screenplay by Rachael Lippincott was published... became a New York Times bestseller.'",complex
"Which rating did the MPAA give 'Five Feet Apart'?","PG-13","Information not in provided text","missing question"
"Who directed 'The Irishman'?","Martin Scorsese","The text mentions 'The Irishman' directed by Martin Scorsese and provides a linked page on his career.","Easy"
"Which actor, alongside Robert De Niro and Al Pacino, is prominently featured in 'The Irishman'?","Joe Pesci","The cast list in the text includes Robert De Niro, Al Pacino, Joe Pesci, among others.","Easy"
"Name the production companies involved in 'The Irishman'.","Netflix and TriBeCa Productions","The text opens with 'The Irishman / Netflix/TriBeCa Productions'.","Moderate"
"Who is credited with writing the screenplay for 'The Irishman'?","Steven Zaillian","Details in the text reference Steven Zaillian as the screenwriter, with additional linked information on his career.","Moderate"
"What is the source material for 'The Irishman'?","The book 'I Heard You Paint Houses' by Charles Brandt","The text states that 'The Irishman' is based on the book 'I Heard You Paint Houses' by Charles Brandt.","Difficult"
"Which recurring thematic element, prominent in both 'Taxi Driver' and 'Goodfellas', is a focus in Scorsese's films?","Guilt and redemption (often in a context of Catholicism and crime)","The text discusses recurring themes in Scorsese's films, highlighting guilt, Catholicism, and redemption.","Difficult"
"How did the collaboration between Martin Scorsese and Robert De Niro evolve over time?","Their long-standing partnership evolved through numerous films—from 'Taxi Driver' and 'Raging Bull' to 'Goodfellas', 'Casino', and 'The Irishman'—defining Scorsese’s cinematic style and thematic focus.","The text details the extensive and evolving collaboration between Scorsese and De Niro.","Complex"
"Describe the significance of film restoration in Martin Scorsese's career.","He has championed film preservation by founding The Film Foundation, which has restored over 850 films, underscoring his commitment to preserving cinematic history.","The text discusses Scorsese’s advocacy for film preservation and restoration projects.","Complex"
"What impact did Martin Scorsese's personal challenges, such as his struggle with cocaine addiction, have on his filmmaking?","His personal struggles, including a severe cocaine addiction that led to depression, influenced his creative drive—most notably resulting in the production of 'Raging Bull' after Robert De Niro intervened.","The text recounts Scorsese’s battle with addiction and its effect on his life and work.","Complex"
"How has Martin Scorsese's approach to adapting literary works evolved throughout his career?","Scorsese's adaptations, seen in films like 'The Age of Innocence' and 'Silence', reflect a commitment to translating the emotional and thematic essence of literature into cinema, balancing stylistic innovation with fidelity to the source material's historical and cultural context.","Information not in provided text.","Missing Question"
"Who directed 'The Lighthouse'?","Robert Eggers","The header lists 'The Lighthouse / A24/Regency Enterprises / Robert Eggers (director/screenplay); ...' indicating that Robert Eggers directed the film.","Easy"
"Name one of the lead actors in 'The Lighthouse'.","Willem Dafoe","The header lists the main cast as 'Willem Dafoe, Robert Pattinson' among others.","Easy"
"Who contributed to the screenplay of 'The Lighthouse'?","Robert Eggers and Max Eggers","The header shows 'Robert Eggers (director/screenplay); Max Eggers (screenplay)' for the film.","Moderate"
"Which two production companies are associated with 'The Lighthouse'?","A24 and Regency Enterprises","The header specifies that the film is produced by A24 and Regency Enterprises.","Moderate"
"What is notable about Robert Eggers' directorial style in 'The Lighthouse'?","It blends elements of horror, folklore, and mythology while maintaining historical authenticity.","The linked page for Robert Eggers highlights his approach of strict attention to historical detail combined with atmospheric horror elements.","Difficult"
"How does A24's reputation influence the stylistic approach of films like 'The Lighthouse'?","A24 is known for its commitment to original, artistically driven independent films with a psychological and horror-driven edge, which complements the atmospheric and period-specific style of 'The Lighthouse'.","The linked page for A24 describes its reputation for supporting distinct cinematic voices and innovative, artful productions.","Difficult"
"Discuss the significance of period authenticity in Robert Eggers' films, particularly in 'The Lighthouse'.","Eggers’ strict attention to detail—using period-appropriate dialogue, settings, and costumes—immerses viewers in the era, enhancing the film’s eerie atmosphere and contributing to its overall psychological tension.","The linked page for Robert Eggers emphasizes his commitment to historical accuracy and detailed period recreations.","Complex"
"Examine the impact of the collaboration between Robert Eggers and Willem Dafoe in 'The Lighthouse' on the film’s narrative and themes.","Their collaboration marries Eggers’ visionary, atmospheric direction with Dafoe’s intense, nuanced performance, creating a haunting portrayal of isolation and madness that deepens the film’s exploration of psychological terror.","Information inferred from the film’s header and the detailed profiles of both Eggers and Dafoe.","Complex"
"What role does Max Eggers play in the creation of 'The Lighthouse'?","He is credited as a co-writer of the screenplay.","The header credits list 'Max Eggers (screenplay)' alongside Robert Eggers.","Moderate"
"How does 'The Lighthouse' reflect or diverge from traditional horror film conventions through its use of isolation and maritime folklore?","'The Lighthouse' diverges from traditional horror by emphasizing psychological terror and ambiguity over explicit gore, using its isolated maritime setting and elements of folklore to create an atmosphere of existential dread and uncertainty.","Information not in provided text.","Missing Question"
"Who directed 'Little Women'?","Greta Gerwig","The header lists Greta Gerwig as the director (and screenwriter) of 'Little Women'.","Easy"
"Which production companies produced 'Little Women'?","Columbia Pictures and Regency Enterprises","The header specifies the film is a Columbia Pictures/Regency Enterprises production.","Easy"
"Name three lead actors from 'Little Women'.","Saoirse Ronan, Emma Watson, and Florence Pugh","The cast list in the header includes these names among others.","Moderate"
"Who is credited with the screenplay of 'Little Women'?","Greta Gerwig","The header credits Greta Gerwig as director and screenplay writer.","Moderate"
"How does Greta Gerwig's adaptation of 'Little Women' reinterpret the classic novel?","It offers a modern feminist perspective while preserving period details and deep character relationships.","This answer is inferred from Gerwig’s known creative approach and the adaptation’s reputation.","Difficult"
"Which cast member of 'Little Women' comes from a noted acting family?","Laura Dern, daughter of Bruce Dern and Diane Ladd","Laura Dern is listed in the cast and is known for her distinguished acting lineage.","Difficult"
"What is the significance of Greta Gerwig serving as both director and screenwriter for 'Little Women'?","Her dual role enables a unified creative vision and innovative narrative approach that challenges traditional interpretations of the story.","The header highlights her dual credit, reflecting her comprehensive creative control.","Complex"
"How did the collaboration between Columbia Pictures and Regency Enterprises impact the production of 'Little Women'?","It combined Columbia’s major studio resources with Regency’s innovative production techniques, striking a balance between traditional storytelling and modern filmmaking.","The film’s production is credited jointly to Columbia Pictures and Regency Enterprises.","Complex"
"Who portrays the character of Jo March in 'Little Women'?","Saoirse Ronan","Saoirse Ronan is one of the lead actors listed and is widely recognized for her role as Jo March.","Moderate"
"What thematic elements in 'Little Women' continue to resonate with contemporary audiences?","Themes of female independence, familial bonds, and the tension between personal ambition and societal expectations make the story timeless.","Information not in provided text","Missing Question"
"Who are the directors of 'Everything Everywhere All at Once'?","Daniel Kwan and Daniel Scheinert (the Daniels)","The film is written and directed by the Daniels, as noted in the header and linked page.","Easy"
"Which production companies were involved in making 'Everything Everywhere All at Once'?","A24, AGBO, and IAC Films","The header lists the film's production companies as A24, AGBO, and IAC Films.","Easy"
"Who plays the role of Evelyn Quan Wang in the film?","Michelle Yeoh","Michelle Yeoh stars as Evelyn Quan Wang, the central character, as described in the linked page.","Moderate"
"What unique narrative technique does the film employ to explore its multiverse concept?","Verse-jumping, which allows characters to access the skills, memories, and bodies of their parallel selves","The film’s plot involves a technology that enables 'verse-jumping' between alternate universes.","Moderate"
"Which iconic symbol in the film represents nihilism and the potential destruction of the multiverse?","The 'Everything Bagel'","The concept of the 'Everything Bagel' is explained as a black hole-like singularity that threatens the multiverse.","Difficult"
"Which actor won an Academy Award for Best Supporting Actor for his role in the film?","Ke Huy Quan","Ke Huy Quan's performance in the film earned him the Academy Award for Best Supporting Actor.","Difficult"
"How did the film perform financially relative to its production budget?","It grossed $143.4 million worldwide on a production budget of $14–25 million","The financial performance is detailed in the linked page, emphasizing its high return on a modest budget.","Complex"
"What genre-blending elements are incorporated into 'Everything Everywhere All at Once'?","It blends absurdist comedy, science fiction, fantasy, martial arts, immigrant narrative, and animation","The film incorporates a mix of genres and media, as noted in the linked page description.","Complex"
"In what way did 'Everything Everywhere All at Once' impact Asian American representation in Hollywood?","It broke barriers by showcasing a predominantly Asian cast and earned historic awards for its Asian leads, including Michelle Yeoh’s Best Actress win.","The film is highlighted for its positive on-screen representation and historic accolades.","Complex"
"How has the collaborative approach of the Daniels influenced the film’s narrative structure and genre fusion?","Their collaborative synergy allowed them to merge disparate genres and narrative threads into a coherent yet wildly inventive story that challenges traditional filmmaking norms.","Information inferred from the Daniels' background and the film's innovative storytelling, not explicitly detailed in the provided text.","Missing Question"
"Who directed the film 'Kimi'?","Steven Soderbergh","Kimi is a 2022 American thriller film directed by Steven Soderbergh.","Easy"
"Who wrote and produced 'Kimi'?","David Koepp","The film 'Kimi' is written and produced by David Koepp.","Easy"
"When was 'Kimi' released on HBO Max?","February 10, 2022","The film was released on HBO Max on February 10, 2022.","Easy"
"Which production companies were involved in making 'Kimi'?","HBO Max, Warner Bros. Pictures, and New Line Cinema","The header lists the production companies as HBO Max, Warner Bros. Pictures, and New Line Cinema.","Easy"
"Who stars as the lead in 'Kimi'?","Zoë Kravitz","The film stars Zoë Kravitz as its central character.","Moderate"
"What is the central plot of 'Kimi'?","An agoraphobic tech worker discovers evidence of a violent crime through her smart speaker.","The synopsis explains that Angela Childs, who works from home monitoring data from the smart speaker Kimi, uncovers recordings of a violent assault that lead her into a dangerous investigation.","Moderate"
"What controversial technology is featured in 'Kimi'?","A smart speaker called Kimi that uses human monitoring to improve its search algorithm.","The film’s plot centers on the use of a smart speaker device named Kimi, which controversially employs human monitoring.","Moderate"
"Which character in 'Kimi' works from home and struggles with anxiety and agoraphobia?","Angela Childs","Angela Childs is described as an employee at Amygdala in Seattle who works from home and suffers from anxiety and agoraphobia.","Moderate"
"After uncovering disturbing recordings in 'Kimi', what does Angela do?","She transfers the recordings to a flash drive and reports the incident to her superiors.","The plot summary details that Angela saves the incriminating recordings by copying them onto a flash drive before reporting the incident.","Difficult"
"In which two cities was 'Kimi' primarily filmed?","Los Angeles and Seattle","Principal photography for 'Kimi' began in Los Angeles (for interior scenes) and moved to Seattle to film exterior scenes.","Difficult"
"Who directed 'The Professor and the Madman'?","Farhad Safinia (credited under the pseudonym P. B. Shemran)","The film is directed by Farhad Safinia, who used the pseudonym P. B. Shemran.","Easy"
"Which book is the film based on and who is its author?","'The Surgeon of Crowthorne' (published in the United States as 'The Professor and the Madman') by Simon Winchester","The screenplay is based on the 1998 book 'The Surgeon of Crowthorne' by Simon Winchester, also known as 'The Professor and the Madman' in the U.S.","Easy"
"What role does Mel Gibson play in the film?","James Murray","Mel Gibson stars in the film as Professor James Murray.","Moderate"
"What major project is Professor James Murray associated with in the film?","The Oxford English Dictionary project","The film centers on Professor James Murray’s role in directing the Oxford University Press project to create what is now known as the Oxford English Dictionary.","Moderate"
"How did W. C. Minor contribute to the Oxford Dictionary project?","He submitted more than 10,000 entries complete with quotes and examples.","The text states that W. C. Minor, a doctor confined at Broadmoor, submitted over 10,000 entries for the dictionary.","Difficult"
"What innovative psychological support did Broadmoor provide to W. C. Minor?","They allowed him to keep a small library and to paint.","The film explains that asylum director Richard Brayne experimented with new techniques by allowing Minor to have a library and the opportunity to paint.","Difficult"
"How does the relationship between W. C. Minor and Eliza evolve over the course of the film?","It evolves from initial hostility and refusal to one of compassion and connection, as Eliza begins to visit him, brings him books, and Minor teaches her to read for the sake of her children.","The narrative describes how Eliza initially refuses Minor’s offer, but later begins visiting him and forming an emotional bond that aids in his healing.","Complex"
"What legal issues affected the film's release, and what was the outcome?","The film was delayed due to a legal battle between Mel Gibson and Safinia versus Voltage Pictures, which resulted in Gibson and Safinia disowning the final product.","The text notes that lawsuits with Voltage Pictures delayed the film's release until 2019, leading Gibson and Safinia to distance themselves from it.","Complex"
"What resolution is reached regarding W. C. Minor’s contributions to the dictionary project?","Although Minor was deported to America, Professor Murray eventually had Minor’s name reinstated among the collaborators on the dictionary.","The film shows that after conflicts and challenges, Murray manages—with the help of his patron Freddie Furnivall—to have Minor’s contributions acknowledged despite his deportation by Churchill.","Difficult"
"Based on the historical context, what impact did 'The Professor and the Madman' have on public perception of the Oxford English Dictionary’s history?","It highlights the dramatic human story behind the creation of the dictionary, emphasizing themes of redemption, forgiveness, and the complex personal struggles involved in a major scholarly endeavor.","Information not in provided text.","Missing Question"
"Who is the director and writer of 'Waves'?","Trey Edward Shults","'Waves' is a 2019 American psychological drama film written, produced and directed by Trey Edward Shults.","Easy"
"Which film distribution company released 'Waves' in the United States?","A24","The film was released in the United States on November 15, 2019, by A24.","Easy"
"Name two of the main actors in 'Waves'.","Kelvin Harrison Jr. and Taylor Russell","The film stars Kelvin Harrison Jr., Taylor Russell, Lucas Hedges, Alexa Demie, Renée Elise Goldsberry, and Sterling K. Brown.","Moderate"
"What central themes does 'Waves' explore?","Love, forgiveness, and coming together in the wake of a tragic loss","'Waves' traces the emotional journey of a suburban American family as they navigate these themes after a tragic event.","Moderate"
"What incident triggers the downfall of the protagonist, Tyler Williams?","Tyler suffers a career-ending injury during a wrestling match and later, in a confrontation with his girlfriend, Alexis, he accidentally causes her death.","The plot details describe how Tyler, while hiding a serious injury and taking painkillers, ends up in an altercation that results in Alexis's fatal injury.","Difficult"
"How does 'Waves' depict the impact of toxic masculinity?","It shows how the pressures imposed by a domineering father and societal expectations drive Tyler into destructive behaviors.","The text mentions that Sterling K. Brown commented on the pressure placed on young Black boys and Tyler's actions reflect toxic masculinity.","Difficult"
"Describe the narrative arc of Emily's character in 'Waves'.","Emily, Tyler’s younger sister, initially struggles with guilt and the fallout of her brother’s actions, then begins a journey of emotional healing through a budding relationship with Luke and reconciling with her family.","The narrative follows Emily as she witnesses the collapse of her brother's life, starts a relationship with Luke, and eventually finds solace and reconnection with her father.","Complex"
"What role does music play in 'Waves'?","Music is used to heighten the film's emotional atmosphere; specific music cues were written into the screenplay to complement the visual storytelling and underscore the characters' inner turmoil.","The production details reveal that the film's soundtrack includes a mix of rap, R&B, alternative, and experimental pop, with director Trey Edward Shults embedding music cues into the script.","Complex"
"Where and when did the principal photography for 'Waves' take place?","It began on July 9, 2018, in Broward County, Florida and wrapped on August 24, 2018, with additional filming in Key Biscayne and Hollywood, Florida.","The text states that principal photography started in Broward County, Florida on July 9, 2018, and concluded on August 24, 2018, with some scenes shot in other parts of Florida.","Moderate"
"How does 'Waves' depict the destructive consequences of its central tragedy?","By showing Tyler’s downward spiral into substance abuse, violent outbursts, and eventual legal consequences that shatter his family and personal future.","The plot synopsis details how Tyler's actions after a critical moment lead to his arrest, his life being upended, and deeply affect the relationships within his family.","Difficult"
"How does the film 'Waves' use its visual and editing style to reflect the emotional states of its characters?","The film employs dynamic camera movements, carefully composed shots, and a rhythmic editing pace that mirrors the turbulent inner lives of the characters, creating an immersive, visceral experience.","Information not in provided text","Missing Question"
"Who directed 'Maleficent: Mistress of Evil'?","Joachim Rønning","The film is a 2019 American fantasy film directed by Joachim Rønning.","Easy"
